id,name,province,province_code,postcode_area,type,map_reference,latitude,longitude,census_division,area_code,time_zone
9525,Alton,Nova Scotia,NS,B0N,Unincorporated area,011E03,45.18976,-63.30338,Colchester,902,America/Halifax
9526,Amherst,Nova Scotia,NS,B4H,Town,021H16,45.83339,-64.21297,Cumberland,902,America/Halifax
9527,Amherst Head,Nova Scotia,NS,B4H,Unincorporated area,011E13,45.88843,-63.99205,Cumberland,902,America/Halifax
9528,Amherst Point,Nova Scotia,NS,B4H,Unincorporated area,021H16,45.78682,-64.27068,Cumberland,902,America/Halifax
9529,Amherst Shore,Nova Scotia,NS,B0L,Unincorporated area,011E13,45.96917,-63.89483,Cumberland,902,America/Halifax
9530,Amiraults Corner,Nova Scotia,NS,B0W,Unincorporated area,021A05,44.46063,-65.84350,Digby,902,America/Halifax
9531,Amiraults Hill,Nova Scotia,NS,B0W,Unincorporated area,020P13,43.81124,-65.97560,Yarmouth,902,America/Halifax
9532,Anderson Mountain,Nova Scotia,NS,B2H,Unincorporated area,011E10,45.62511,-62.56559,Pictou,902,America/Halifax
9533,Angevine Lake,Nova Scotia,NS,B0K,Unincorporated area,011E12,45.73655,-63.55141,Cumberland,902,America/Halifax
9534,Annapolis Royal,Nova Scotia,NS,B0S,Town,021A12,44.74373,-65.51891,Annapolis,902,America/Halifax
9535,Antigonish,Nova Scotia,NS,B2G,Town,011F12,45.62277,-61.99158,Antigonish,902,America/Halifax
9536,Antigonish Harbour,Nova Scotia,NS,B2G,Unincorporated area,011F12,45.71637,-61.90785,Antigonish,902,America/Halifax
9537,Antigonish Landing,Nova Scotia,NS,B2G,Unincorporated area,011F12,45.63460,-61.96212,Antigonish,902,America/Halifax
9538,Antrim,Nova Scotia,NS,B0N,Unincorporated area,011D14,44.96389,-63.35209,Halifax,902,America/Halifax
9539,Apple River,Nova Scotia,NS,B0L,Unincorporated area,021H07,45.46136,-64.78592,Cumberland,902,America/Halifax
9540,Arcadia,Nova Scotia,NS,B0W,Unincorporated area,020O16,43.82605,-66.06452,Yarmouth,902,America/Halifax
9541,Archibalds Mill,Nova Scotia,NS,B2H,Unincorporated area,011E08,45.32909,-62.11846,Guysborough,902,America/Halifax
9542,Ardness,Nova Scotia,NS,B0K,Unincorporated area,011E09,45.69615,-62.23521,Pictou,902,America/Halifax
9543,Ardoise,Nova Scotia,NS,B0N,Unincorporated area,011D13,44.95923,-63.93370,Hants,902,America/Halifax
9544,Argyle,Nova Scotia,NS,B0H,Unincorporated area,011F05,45.38849,-61.93412,Guysborough,902,America/Halifax
9545,Argyle,Nova Scotia,NS,B0W,Unincorporated area,020P13,43.79551,-65.85666,Yarmouth,902,America/Halifax
9546,Argyle Head,Nova Scotia,NS,B0W,Unincorporated area,020P13,43.82032,-65.85806,Yarmouth,902,America/Halifax
9547,Argyle Sound,Nova Scotia,NS,B0W,Unincorporated area,020P12,43.69347,-65.81406,Yarmouth,902,America/Halifax
9548,Arichat,Nova Scotia,NS,B0E,Unincorporated area,011F11,45.51103,-61.01540,Richmond,902,America/Halifax
9549,Arisaig,Nova Scotia,NS,B2G,Unincorporated area,011E16,45.76020,-62.16237,Antigonish,902,America/Halifax
9550,Arlington,Nova Scotia,NS,B0P,Unincorporated area,021H01,45.19841,-64.42436,Kings,902,America/Halifax
9551,Arlington East,Nova Scotia,NS,B0S,Unincorporated area,021A14,44.93183,-65.21564,Annapolis,902,America/Halifax
9552,Arlington West,Nova Scotia,NS,B0S,Unincorporated area,021A14,44.91059,-65.27985,Annapolis,902,America/Halifax
9553,Armdale,Nova Scotia,NS,B3N,Unincorporated area,011D12,44.63593,-63.62636,Halifax,902,America/Halifax
9554,Armstrong Lake,Nova Scotia,NS,B0R,Unincorporated area,021A15,44.77256,-64.73600,Kings,902,America/Halifax
9555,Ashby,Nova Scotia,NS,B1P,Unincorporated area,011K01,46.13958,-60.16936,Cape Breton,902,America/Glace_Bay
9556,Ashdale,Nova Scotia,NS,B0N,Unincorporated area,011E04,45.01262,-63.92580,Hants,902,America/Halifax
9557,Ashdale,Nova Scotia,NS,B2G,Unincorporated area,011E09,45.52370,-62.04009,Antigonish,902,America/Halifax
9558,Ashfield,Nova Scotia,NS,B0E,Unincorporated area,011F14,45.91239,-61.16417,Inverness,902,America/Halifax
9559,Ashmore,Nova Scotia,NS,B0W,Unincorporated area,021A05,44.46299,-65.97012,Digby,902,America/Halifax
9560,Askilton,Nova Scotia,NS,B0E,Unincorporated area,011F11,45.69457,-61.30664,Inverness,902,America/Halifax
9561,Aspen,Nova Scotia,NS,B0H,Unincorporated area,011E08,45.30143,-62.05244,Guysborough,902,America/Halifax
9562,Aspotogan,Nova Scotia,NS,B0J,Unincorporated area,021A09,44.52356,-64.05046,Lunenburg,902,America/Halifax
9563,Aspy Bay,Nova Scotia,NS,B0C,Unincorporated area,011K16,46.92379,-60.48700,Victoria,902,America/Halifax
9564,Athol,Nova Scotia,NS,B0M,Unincorporated area,021H09,45.67506,-64.21616,Cumberland,902,America/Halifax
9565,Athol Road,Nova Scotia,NS,B0M,Unincorporated area,021H09,45.63207,-64.10266,Cumberland,902,America/Halifax
9566,Athol Station,Nova Scotia,NS,B0L,Unincorporated area,021H09,45.68781,-64.21474,Cumberland,902,America/Halifax
9567,Atkinson,Nova Scotia,NS,B0M,Unincorporated area,011E12,45.63266,-63.72961,Cumberland,902,America/Halifax
9568,Atlanta,Nova Scotia,NS,B0P,Unincorporated area,021H02,45.15460,-64.49490,Kings,902,America/Halifax
9569,Atlantic,Nova Scotia,NS,B0T,Unincorporated area,020P11,43.58085,-65.33932,Shelburne,902,America/Halifax
9570,Atwoods Brook,Nova Scotia,NS,B0W,Unincorporated area,020P12,43.50916,-65.65541,Shelburne,902,America/Halifax
9571,Auburn,Nova Scotia,NS,B0P,Unincorporated area,021H02,45.01776,-64.87309,Kings,902,America/Halifax
9572,Auburndale,Nova Scotia,NS,B4V,Unincorporated area,021A07,44.40525,-64.59282,Lunenburg,902,America/Halifax
9573,Aulds Cove,Nova Scotia,NS,B0H,Unincorporated area,011F11,45.64848,-61.43859,Antigonish,902,America/Halifax
9574,Avondale,Nova Scotia,NS,B0K,Unincorporated area,011E09,45.63651,-62.29983,Pictou,902,America/Halifax
9575,Avondale,Nova Scotia,NS,B0N,Unincorporated area,021H01,45.02296,-64.12366,Hants,902,America/Halifax
9576,Avondale Station,Nova Scotia,NS,B0K,Unincorporated area,011E09,45.62593,-62.29574,Pictou,902,America/Halifax
9577,Avonport,Nova Scotia,NS,B0P,Unincorporated area,021H01,45.10040,-64.25745,Kings,902,America/Halifax
9578,Avonport Station,Nova Scotia,NS,B0P,Unincorporated area,021H01,45.11021,-64.24825,Kings,902,America/Halifax
9579,Aylesford,Nova Scotia,NS,B0P,Village,021H02,45.02816,-64.83646,Kings,902,America/Halifax
9580,Aylesford East,Nova Scotia,NS,B0P,Unincorporated area,021H02,45.02921,-64.81013,Kings,902,America/Halifax
9581,Aylesford Lake,Nova Scotia,NS,B0P,Unincorporated area,021A15,44.96350,-64.67667,Kings,902,America/Halifax
9582,Aylesford Mountain,Nova Scotia,NS,B0P,Unincorporated area,021H02,45.06700,-64.85482,Kings,902,America/Halifax
9583,Baccaro,Nova Scotia,NS,B0W,Unincorporated area,020P06,43.47910,-65.47389,Shelburne,902,America/Halifax
9584,Back Centre,Nova Scotia,NS,B4V,Unincorporated area,021A08,44.36959,-64.35978,Lunenburg,902,America/Halifax
9585,Back Settlement,Nova Scotia,NS,B2G,Unincorporated area,011F13,45.82639,-61.97384,Antigonish,902,America/Halifax
9586,Baddeck,Nova Scotia,NS,B0E,Village,011K02,46.10010,-60.75374,Victoria,902,America/Halifax
9587,Baddeck Bay,Nova Scotia,NS,B0E,Unincorporated area,011K02,46.12316,-60.71565,Victoria,902,America/Halifax
9588,Baddeck Bridge,Nova Scotia,NS,B0E,Unincorporated area,011K02,46.12407,-60.80351,Victoria,902,America/Halifax
9589,Baileys Brook,Nova Scotia,NS,B0K,Unincorporated area,011E09,45.66047,-62.27576,Pictou,902,America/Halifax
9590,Bakers Settlement,Nova Scotia,NS,B4V,Unincorporated area,021A07,44.39700,-64.67750,Lunenburg,902,America/Halifax
9591,Bald Rock,Nova Scotia,NS,B3V,Unincorporated area,011D05,44.46968,-63.58005,Halifax,902,America/Halifax
9592,Baleine,Nova Scotia,NS,B1C,Unincorporated area,011G13,45.95770,-59.83369,Cape Breton,902,America/Glace_Bay
9593,Balfron,Nova Scotia,NS,B0K,Unincorporated area,011E11,45.67038,-63.23177,Colchester,902,America/Halifax
9594,Ballantynes Cove,Nova Scotia,NS,B2G,Unincorporated area,011F13,45.85977,-61.92088,Antigonish,902,America/Halifax
9595,Balls Creek,Nova Scotia,NS,B2A,Unincorporated area,011K01,46.15000,-60.31118,Cape Breton,902,America/Glace_Bay
9596,Balmoral,Nova Scotia,NS,B0E,Unincorporated area,011F11,45.65942,-61.07931,Richmond,902,America/Halifax
9597,Balmoral Mills,Nova Scotia,NS,B0K,Unincorporated area,011E11,45.64725,-63.19639,Colchester,902,America/Halifax
9598,Bangor,Nova Scotia,NS,B0W,Unincorporated area,021B01,44.21800,-66.09067,Digby,902,America/Halifax
9599,Bangs Falls,Nova Scotia,NS,B0T,Unincorporated area,021A02,44.24780,-64.83105,Queens,902,America/Halifax
9600,Barkhouse Settlement,Nova Scotia,NS,B0J,Unincorporated area,011D16,44.94736,-62.37838,Halifax,902,America/Halifax
9601,Barneys Brook,Nova Scotia,NS,B2S,Unincorporated area,011D14,44.99686,-63.46663,Hants,902,America/Halifax
9602,Barneys River Station,Nova Scotia,NS,B0K,Unincorporated area,011E09,45.59552,-62.26709,Pictou,902,America/Halifax
9603,Barrachois,Nova Scotia,NS,B0K,Unincorporated area,011E11,45.72375,-63.26475,Colchester,902,America/Halifax
9604,Barrachois,Nova Scotia,NS,B1Y,Unincorporated area,011K01,46.14146,-60.43367,Cape Breton,902,America/Glace_Bay
9605,Barrachois Harbour,Nova Scotia,NS,B1Y,Unincorporated area,011K01,46.14789,-60.42520,Cape Breton,902,America/Glace_Bay
9606,Barra Glen,Nova Scotia,NS,B2C,Unincorporated area,011F15,45.97229,-60.84135,Victoria,902,America/Halifax
9607,Barra Head,Nova Scotia,NS,B0E,Unincorporated area,011F10,45.67909,-60.78250,Richmond,902,America/Halifax
9608,Barren Hill,Nova Scotia,NS,B2J,Unincorporated area,011F10,45.68203,-60.59851,Richmond,902,America/Halifax
9609,Barrington,Nova Scotia,NS,B0W,Unincorporated area,020P12,43.56287,-65.56167,Shelburne,902,America/Halifax
9610,Barrington Head,Nova Scotia,NS,B0W,Unincorporated area,020P12,43.56842,-65.57732,Shelburne,902,America/Halifax
9611,Barrington Passage,Nova Scotia,NS,B0W,Unincorporated area,020P12,43.52756,-65.60920,Shelburne,902,America/Halifax
9612,Barrington West,Nova Scotia,NS,B0W,Unincorporated area,020P12,43.56420,-65.59360,Shelburne,902,America/Halifax
9613,Barrio Lake,Nova Scotia,NS,B0W,Unincorporated area,021A04,44.20540,-65.81743,Digby,902,America/Halifax
9614,Barrios Beach,Nova Scotia,NS,B0H,Unincorporated area,011F12,45.64596,-61.62527,Antigonish,902,America/Halifax
9615,Barronsfield,Nova Scotia,NS,B0L,Unincorporated area,021H16,45.73712,-64.35982,Cumberland,902,America/Halifax
9616,Barr Settlement,Nova Scotia,NS,B2S,Unincorporated area,011E04,45.13802,-63.62794,Hants,902,America/Halifax
9617,Barrys Corner,Nova Scotia,NS,B0J,Unincorporated area,021A08,44.42913,-64.47606,Lunenburg,902,America/Halifax
9618,Barss Corner,Nova Scotia,NS,B0R,Unincorporated area,021A10,44.56652,-64.68105,Lunenburg,902,America/Halifax
9619,Barton,Nova Scotia,NS,B0W,Unincorporated area,021A12,44.53665,-65.87369,Digby,902,America/Halifax
9620,Basin Road,Nova Scotia,NS,B0E,Unincorporated area,011F11,45.62264,-61.18980,Richmond,902,America/Halifax
9621,Bass River,Nova Scotia,NS,B0M,Unincorporated area,011E05,45.41470,-63.77932,Colchester,902,America/Halifax
9622,Bateston,Nova Scotia,NS,B1C,Unincorporated area,011J04,46.00555,-59.90979,Cape Breton,902,America/Glace_Bay
9623,Baxters Harbour,Nova Scotia,NS,B0P,Unincorporated area,021H02,45.22926,-64.51525,Kings,902,America/Halifax
9624,Bayers Settlement,Nova Scotia,NS,B0J,Unincorporated area,011D11,44.74972,-63.14889,Halifax,902,America/Halifax
9625,Bayfield,Nova Scotia,NS,B0H,Unincorporated area,011F12,45.63118,-61.74637,Antigonish,902,America/Halifax
9626,Bayfield Road,Nova Scotia,NS,B0H,Unincorporated area,011F12,45.60239,-61.74457,Antigonish,902,America/Halifax
9627,Bayhead,Nova Scotia,NS,B0K,Unincorporated area,011E11,45.73830,-63.36280,Colchester,902,America/Halifax
9628,Bayport,Nova Scotia,NS,B0J,Unincorporated area,021A08,44.32152,-64.31132,Lunenburg,902,America/Halifax
9629,Bay Road Valley,Nova Scotia,NS,B0C,Unincorporated area,011K16,46.96983,-60.47371,Victoria,902,America/Halifax
9630,Bay Saint Lawrence,Nova Scotia,NS,B0C,Unincorporated area,011N01,47.00254,-60.46733,Victoria,902,America/Halifax
9631,Bayside,Nova Scotia,NS,B3Z,Unincorporated area,011D12,44.53058,-63.80307,Halifax,902,America/Halifax
9632,Bayswater,Nova Scotia,NS,B0J,Unincorporated area,021A08,44.50459,-64.06066,Lunenburg,902,America/Halifax
9633,Bay View,Nova Scotia,NS,B0K,Unincorporated area,011E10,45.70233,-62.68057,Pictou,902,America/Halifax
9634,Bay View,Nova Scotia,NS,B0V,Unincorporated area,021A12,44.68027,-65.77474,Digby,902,America/Halifax
9635,Beach Meadows,Nova Scotia,NS,B0J,Unincorporated area,021A02,44.06453,-64.63840,Queens,902,America/Halifax
9636,Beaconsfield,Nova Scotia,NS,B0S,Unincorporated area,021A14,44.85369,-65.32916,Annapolis,902,America/Halifax
9637,Bear Cove,Nova Scotia,NS,B0W,Unincorporated area,021B01,44.13859,-66.18619,Digby,902,America/Halifax
9638,Bear Cove,Nova Scotia,NS,B3V,Unincorporated area,011D12,44.53672,-63.54527,Halifax,902,America/Halifax
9639,Bear Point,Nova Scotia,NS,B0W,Unincorporated area,020P05,43.48671,-65.65749,Shelburne,902,America/Halifax
9640,Bear River,Nova Scotia,NS,B0S,Unincorporated area,021A12,44.57546,-65.63972,Annapolis,902,America/Halifax
9641,Bear River East,Nova Scotia,NS,B0S,Unincorporated area,021A12,44.60192,-65.59172,Annapolis,902,America/Halifax
9642,Bear River Station,Nova Scotia,NS,B0S,Unincorporated area,021A12,44.61679,-65.69178,Digby,902,America/Halifax
9643,Beauly,Nova Scotia,NS,B0H,Unincorporated area,011F12,45.52589,-61.81854,Antigonish,902,America/Halifax
9644,Beaver Bank,Nova Scotia,NS,B4G,Unincorporated area,011D13,44.82484,-63.68079,Halifax,902,America/Halifax
9645,Beaver Bank Villa,Nova Scotia,NS,B4G,Unincorporated area,011D13,44.90360,-63.71113,Halifax,902,America/Halifax
9646,Beaver Brook,Nova Scotia,NS,B6L,Unincorporated area,011E06,45.30418,-63.42265,Colchester,902,America/Halifax
9647,Beaver Cove,Nova Scotia,NS,B1T,Unincorporated area,011K02,46.06763,-60.55779,Cape Breton,902,America/Glace_Bay
9648,Beaver Dam,Nova Scotia,NS,B0N,Unincorporated area,011E02,45.02074,-62.76250,Halifax,902,America/Halifax
9649,Beaverdam Lake,Nova Scotia,NS,B0T,Unincorporated area,020P11,43.66352,-65.42388,Shelburne,902,America/Halifax
9650,Beaver Harbour,Nova Scotia,NS,B0J,Unincorporated area,011D16,44.89876,-62.41974,Halifax,902,America/Halifax
9651,Beaver Meadow,Nova Scotia,NS,B2G,Unincorporated area,011E09,45.56207,-62.10049,Antigonish,902,America/Halifax
9652,Beaver Mountain,Nova Scotia,NS,B2G,Unincorporated area,011E09,45.56735,-62.15464,Antigonish,902,America/Halifax
9653,Beaver River,Nova Scotia,NS,B0W,Unincorporated area,021B01,44.00444,-66.14828,Yarmouth,902,America/Halifax
9654,Beckwith,Nova Scotia,NS,B4H,Unincorporated area,011E13,45.83395,-63.81280,Cumberland,902,America/Halifax
9655,Bedford,Nova Scotia,NS,B4A,Unincorporated area,011D12,44.72549,-63.66772,Halifax,902,America/Halifax
9656,Beecham Settlement,Nova Scotia,NS,B4H,Unincorporated area,011E13,45.96333,-63.99450,Cumberland,902,America/Halifax
9657,Beech Hill,Nova Scotia,NS,B0J,Unincorporated area,021A09,44.60044,-64.39015,Lunenburg,902,America/Halifax
9658,Beech Hill,Nova Scotia,NS,B2G,Unincorporated area,011F12,45.58604,-61.95698,Antigonish,902,America/Halifax
9659,Beech Hill Farms,Nova Scotia,NS,B0T,Unincorporated area,020P15,43.98269,-64.79103,Queens,902,America/Halifax
9660,Beechmont,Nova Scotia,NS,B1L,Unincorporated area,011K01,46.08610,-60.37916,Cape Breton,902,America/Glace_Bay
9661,Beechmont North,Nova Scotia,NS,B1L,Unincorporated area,011K01,46.11241,-60.33252,Cape Breton,902,America/Glace_Bay
9662,Beechville,Nova Scotia,NS,B3T,Unincorporated area,011D12,44.63619,-63.68205,Halifax,902,America/Halifax
9663,Beechwood Park,Nova Scotia,NS,B3M,Unincorporated area,011D12,44.66531,-63.64276,Halifax,902,America/Halifax
9664,Beinn Bhreagh,Nova Scotia,NS,B0E,Unincorporated area,011K02,46.11317,-60.71435,Victoria,902,America/Halifax
9665,Beinn Scalpie,Nova Scotia,NS,B0E,Unincorporated area,011K02,46.19961,-60.55604,Victoria,902,America/Halifax
9666,Bel Ayr Park,Nova Scotia,NS,B2W,Unincorporated area,011D12,44.67281,-63.51088,Halifax,902,America/Halifax
9667,Belcher Street,Nova Scotia,NS,B0P,Unincorporated area,021H01,45.08839,-64.46156,Kings,902,America/Halifax
9668,Belgiumtown,Nova Scotia,NS,B1E,Unincorporated area,011K01,46.19095,-60.01139,Cape Breton,902,America/Glace_Bay
9669,Belle Côte,Nova Scotia,NS,B0E,Unincorporated area,011K06,46.44438,-61.09245,Inverness,902,America/Halifax
9670,Belleisle,Nova Scotia,NS,B0S,Unincorporated area,021A14,44.80163,-65.40223,Annapolis,902,America/Halifax
9671,Belle-Marche,Nova Scotia,NS,B0E,Unincorporated area,011K10,46.61742,-60.99426,Inverness,902,America/Halifax
9672,Belleville,Nova Scotia,NS,B0W,Unincorporated area,020P13,43.85537,-65.92396,Yarmouth,902,America/Halifax
9673,Belleville North,Nova Scotia,NS,B0W,Unincorporated area,020P13,43.86540,-65.93839,Yarmouth,902,America/Halifax
9674,Belleville South,Nova Scotia,NS,B0W,Unincorporated area,020P13,43.84791,-65.91098,Yarmouth,902,America/Halifax
9675,Belliveaus Cove,Nova Scotia,NS,B0W,Unincorporated area,021B08,44.38658,-66.06132,Digby,902,America/Halifax
9676,Bell Lakes,Nova Scotia,NS,B0E,Unincorporated area,011K07,46.29716,-60.72475,Victoria,902,America/Halifax
9677,Bell Neck,Nova Scotia,NS,B0W,Unincorporated area,020P13,43.87766,-65.90648,Yarmouth,902,America/Halifax
9678,Belmont,Nova Scotia,NS,B0M,Unincorporated area,011E06,45.42463,-63.38511,Colchester,902,America/Halifax
9679,Belmont,Nova Scotia,NS,B0N,Unincorporated area,021H01,45.04503,-64.07669,Hants,902,America/Halifax
9680,Belnan,Nova Scotia,NS,B2S,Unincorporated area,011D13,44.99490,-63.52689,Hants,902,America/Halifax
9681,Benacadie,Nova Scotia,NS,B1T,Unincorporated area,011F15,45.94621,-60.72630,Cape Breton,902,America/Glace_Bay
9682,Benacadie Pond,Nova Scotia,NS,B1T,Unincorporated area,011F15,45.91684,-60.71978,Cape Breton,902,America/Glace_Bay
9683,Benacadie West,Nova Scotia,NS,B1T,Unincorporated area,011F15,45.93788,-60.73119,Cape Breton,902,America/Glace_Bay
9684,Ben Eoin,Nova Scotia,NS,B1J,Unincorporated area,011F16,45.96777,-60.45499,Cape Breton,902,America/Glace_Bay
9685,Benjamins Mill,Nova Scotia,NS,B0P,Unincorporated area,021A16,44.92742,-64.30863,Hants,902,America/Halifax
9686,Bennett Bay,Nova Scotia,NS,B0P,Unincorporated area,021H01,45.23753,-64.46129,Kings,902,America/Halifax
9687,Berichan,Nova Scotia,NS,B0K,Unincorporated area,011E11,45.60394,-63.08362,Colchester,902,America/Halifax
9688,Berwick,Nova Scotia,NS,B0P,Town,021H02,45.04574,-64.73610,Kings,902,America/Halifax
9689,Berwick North,Nova Scotia,NS,B0P,Unincorporated area,021H02,45.05950,-64.74129,Kings,902,America/Halifax
9690,Berwick West,Nova Scotia,NS,B0P,Unincorporated area,021H02,45.02914,-64.76048,Kings,902,America/Halifax
9691,Bible Hill,Nova Scotia,NS,B2N,Village,011E06,45.37610,-63.25822,Colchester,902,America/Halifax
9692,Bickerton West,Nova Scotia,NS,B0J,Unincorporated area,011F04,45.10298,-61.73159,Guysborough,902,America/Halifax
9693,Big Baddeck,Nova Scotia,NS,B0E,Unincorporated area,011K02,46.14323,-60.79521,Victoria,902,America/Halifax
9694,Big Bank,Nova Scotia,NS,B1X,Unincorporated area,011K01,46.21674,-60.49316,Victoria,902,America/Halifax
9695,Big Barren,Nova Scotia,NS,B0C,Unincorporated area,011K10,46.57301,-60.67499,Victoria,902,America/Halifax
9696,Big Beach,Nova Scotia,NS,B1T,Unincorporated area,011K02,45.99988,-60.69609,Cape Breton,902,America/Glace_Bay
9697,Big Bras d'Or,Nova Scotia,NS,B1X,Unincorporated area,011K08,46.28535,-60.41336,Victoria,902,America/Halifax
9698,Big Brook,Nova Scotia,NS,B0E,Unincorporated area,011K06,46.29122,-61.02884,Inverness,902,America/Halifax
9699,Big Brook,Nova Scotia,NS,B1T,Unincorporated area,011K02,46.00560,-60.68499,Cape Breton,902,America/Glace_Bay
9700,Big Farm,Nova Scotia,NS,B0E,Unincorporated area,011K02,46.10298,-60.82160,Victoria,902,America/Halifax
9701,Big Glace Bay,Nova Scotia,NS,B1A,Unincorporated area,011J04,46.17782,-59.91032,Cape Breton,902,America/Glace_Bay
9702,Big Glen,Nova Scotia,NS,B0E,Unincorporated area,011K02,46.22783,-60.69756,Victoria,902,America/Halifax
9703,Big Glen,Nova Scotia,NS,B1K,Unincorporated area,011F16,45.82397,-60.47190,Cape Breton,902,America/Glace_Bay
9704,Big Harbour,Nova Scotia,NS,B0E,Unincorporated area,011K02,46.14854,-60.60018,Victoria,902,America/Halifax
9705,Big Harbour Centre,Nova Scotia,NS,B0E,Unincorporated area,011F15,45.86741,-60.98975,Inverness,902,America/Halifax
9706,Big Harbour Island,Nova Scotia,NS,B0E,Unincorporated area,011F15,45.86436,-60.94283,Inverness,902,America/Halifax
9707,Big Hill,Nova Scotia,NS,B0E,Unincorporated area,011K02,46.16670,-60.64226,Victoria,902,America/Halifax
9708,Big Intervale,Nova Scotia,NS,B0E,Unincorporated area,011K07,46.44388,-60.93319,Inverness,902,America/Halifax
9709,Big Intervale Cape North,Nova Scotia,NS,B0C,Unincorporated area,011K15,46.84053,-60.59937,Victoria,902,America/Halifax
9710,Big Island,Nova Scotia,NS,B0K,Unincorporated area,011E09,45.66226,-62.42323,Pictou,902,America/Halifax
9711,Big LaHave Lake,Nova Scotia,NS,B0R,Unincorporated area,021A10,44.65220,-64.96110,Annapolis,902,America/Halifax
9712,Big Lake,Nova Scotia,NS,B3Z,Unincorporated area,011D12,44.52440,-63.86114,Halifax,902,America/Halifax
9713,Big Lorraine,Nova Scotia,NS,B1C,Unincorporated area,011G13,45.92853,-59.93451,Cape Breton,902,America/Glace_Bay
